question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification
45,هل يوجد اختبار قبول أو مقابلة شخصية للتحويل؟ وكيف أعلم بذلك؟,"نعم، ولكن في بعض التخصصات مثل:
كلية الطب
طب الأسنان
التربية
التصاميم والفنون
وسيتم إفادة المتقدم بموعد ومكان الاختبار عن طريق الكلية.","كلية الطب
نعم، ولكن في بعض التخصصات مثل:
طب الأسنان
التربية
التصاميم والفنون
وسيتم إفادة المتقدم بموعد ومكان الاختبار عن طريق الكلية.",97.95,مرتفع
46,هل يمكن التحويل من الكليات النظرية إلى الكليات العلمية؟,"نعم، كلية العلوم بالمدينة فقط وفق الشروط التالية:
أن يكون حاصلًا على الثانوية العامة مسار علمي.
أن يكون حاصلًا على اختبار تحصيلي علمي (للطلاب).
أن يكون هناك مقاعد متاحة.","أن يكون حاصلًا على الثانوية العامة مسار علمي.
نعم، كلية العلوم بالمدينة فقط وفق الشروط التالية:
أن يكون حاصلًا على اختبار تحصيلي علمي (للطلاب).
أن يكون هناك مقاعد متاحة.",98.25,مرتفع
47,هل يوجد تحويل من الكليات النظرية إلى الكليات الصحية؟,نعم، كلية التمريض فقط، وحسب المفاضلة لأعلى معدل ووفق ضوابط وشروط الكلية.,كلية التمريض فقط، وحسب المفاضلة لأعلى معدل ووفق ضوابط وشروط الكلية.، نعم,99.0,مرتفع
48,هل يوجد تحويل من الكليات العلمية إلى الكليات الصحية؟,"نعم:
كلية التمريض بالمدينة
كلية العلوم الطبية التطبيقية بينبع
كلية العلوم الطبية التطبيقية بالعلا
كلية التأهيل الطبي تخصص الأطراف الصناعية والأجهزة المساعدة
وذلك وفق دليل التحويل.","كلية التمريض بالمدينة
نعم:
كلية العلوم الطبية التطبيقية بينبع
كلية العلوم الطبية التطبيقية بالعلا
كلية التأهيل الطبي تخصص الأطراف الصناعية والأجهزة المساعدة
وذلك وفق دليل التحويل.",97.93,مرتفع
49,معدلي عالي ولم أستطع التحويل لبعض التخصصات، لماذا؟,نظراً للإقبال الكبير لهذه التخصصات وبمعدلات عالية جداً، تم وضع حد أدنى للترشيح لهذه التخصصات.,تم وضع حد أدنى للترشيح لهذه التخصصات.، نظراً للإقبال الكبير لهذه التخصصات وبمعدلات عالية جداً,98.32,مرتفع
50,كيف يعرف الطالب نتيجة القبول؟,يجب على الطالب الدخول على حسابه عبر بوابة القبول الإلكتروني في المواعيد المعلنة والمحددة في الجدول الزمني للتقديم، ويساند ذلك إرسال رسائل نصية على جوال الطالب والبريد الإلكتروني.,ويساند ذلك إرسال رسائل نصية على جوال الطالب والبريد الإلكتروني.، يجب على الطالب الدخول على حسابه عبر بوابة القبول الإلكتروني في المواعيد المعلنة والمحددة في الجدول الزمني للتقديم,97.82,مرتفع
51,طالب دخل اختبار القدرات العامة أكثر من مرة، فماهي النتيجة التي يتم احتسابها في القبول؟,يتم احتساب أعلى نتيجة حصل عليها الطالب في اختبار القدرات العامة.,عليها الطالب في اختبار القدرات العامة. يتم احتساب أعلى نتيجة حصل,97.23,مرتفع
52,طالب تأخر في ترتيب الرغبات في الموعد المحدد؟,إذا لم يتم ترتيب الرغبات في الفترة المحددة حسب الجدول الزمني للقبول، سيتم إلغاء الترشيح، ولا يحق للمتقدم بعد ذلك المطالبة بالمقعد.,سيتم إلغاء الترشيح، ولا يحق للمتقدم بعد ذلك المطالبة بالمقعد.، إذا لم يتم ترتيب الرغبات في الفترة المحددة حسب الجدول الزمني للقبول,94.16,مرتفع
53,ماهي التخصصات المتاحة للقبول بالجامعة؟,يمكنك الدخول على رابط البرامج والتخصصات المتاحة على موقع بوابة القبول الإلكتروني للاطلاع عليها.,على موقع بوابة القبول الإلكتروني للاطلاع عليها. يمكنك الدخول على رابط البرامج والتخصصات المتاحة,98.51,مرتفع
54,ماهي آلية المفاضلة في القبول؟,"يتم القبول عن طريق المفاضلة بين المتقدمين تنافسياً وفقاً لما يلي:
1- النسبة الموزونة.
2- ترتيب الرغبات.
3- توافر المقاعد المتاحة.
4- شروط الكليات.
(موقع الجامعة الرسمي - عمادة القبول والتسجيل - دليل القبول).","1- النسبة الموزونة.
يتم القبول عن طريق المفاضلة بين المتقدمين تنافسياً وفقاً لما يلي:
2- ترتيب الرغبات.
3- توافر المقاعد المتاحة.
4- شروط الكليات.
(موقع الجامعة الرسمي - عمادة القبول والتسجيل - دليل القبول).",98.2,مرتفع
55,ماهي معايير القبول في الجامعة؟,يمكن الاطلاع على معايير القبول من خلال موقع الجامعة.,القبول من خلال موقع الجامعة. يمكن الاطلاع على معايير,98.38,مرتفع
56,طالب سجل العام الماضي ولم يتم قبوله، هل يمكن التسجيل من التقديم القديم أم يلزم التقديم من جديد؟,يتوجب التقديم من جديد من خلال الدخول على بوابة القبول الإلكتروني.,خلال الدخول على بوابة القبول الإلكتروني. يتوجب التقديم من جديد من,94.66,مرتفع
57,هل الأولوية في القبول الجامعي للحاصلين على شهادة الثانوية العامة لهذا العام؟,"القبول يتم وفق الشروط المعلنة على موقع الجامعة.
(عمادة القبول والتسجيل - دليل القبول).","(عمادة القبول والتسجيل - دليل القبول).
القبول يتم وفق الشروط المعلنة على موقع الجامعة.",99.0,مرتفع
58,هل هناك ميزة لمن قدم في اليوم الأول أو اليوم التالي أو اليوم الأخير، حسب الجدول الزمني؟,لا، المفاضلة تكون حسب النسبة الموزونة والمقاعد المتاحة.,المفاضلة تكون حسب النسبة الموزونة والمقاعد المتاحة.، لا,98.27,مرتفع
