question_id,question,reference_answer,generated_answer,q_chunk_match_pct,cosine_similarity_pct,classification,notes
27,هل يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية؟,لا يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية.,"الفصل الحادي عشر: أحكام عامة
القواعد التنفيذية للمادة التاسعة والأربعين
7. لا تمنح الجامعة مكافأة مالية لطالب المرحلة الثانوية عند الدراسة بها.",37.04,41.85,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0191 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=37.04%)
28,متى يتم تفعيل بوابة التسجيل للمنح الخارجية وماهي المستندات المطلوبة؟,"المنح الخارجية يتم التقديم عليها عبر بوابة تعلم في السعودية، ولمزيد من المعلومات يرجى زيارة الرابط:
https://studyinsaudi.moe.gov.sa/","مقدمة:
حرصاً من جامعة طيبة على تعزيز الهوية الوطنية السعودية، وخلق بيئة تعليمية جادة ومنضبطة، فقد تم إعداد هذه الضوابط لتنظيم الزي الخاص بالطلاب والطالبات داخل الحرم الجامعي، بما يعكس القيم الإسلامية والثقافية والاجتماعية والوطنية.",25.69,59.97,متوسط,chunk_id=taibah_dress_code_ar-0001 | from_file=taibah_dress_code_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=25.69%)
29,هل سيتم الإعلان عن أدنى نسبة تم قبولها للطالب/ـة للمنح الداخلية والخارجية؟,القبول في المنح الداخلية والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم، وليس فقط النسبة الموزونة.,"القسم الأول: مقررات المتطلبات العامة
بعد الاختبار
1. تتولى الكلية المستفيدة تسليم أوراق الإجابة لأستاذ المقرر مباشرة للتصحيح.",41.86,55.18,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0044 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=41.86%)
30,هل من الممكن التعديل على بيانات الطالب عند الخطأ في رقم الجوال في المنح الداخلية والخارجية؟,يمكن تعديل البيانات الشخصية وبيانات التواصل للطالب من خلال رابط استكمال البيانات.,"ثالثاً: قنوات تقديم الشكوى
- النظام الإلكتروني
- البريد الإلكتروني
- مكاتب الدعم الطلابي
- التواصل المباشر

شرح:
الأفضل استخدام النظام الإلكتروني لأنه موثق وأسهل للمتابعة.",38.37,53.58,متوسط,chunk_id=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي-0005 | from_file=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=38.37%)
31,هل من الممكن تحديد موعد قبول المنح (الخارجية - الداخلية)؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,"القسم الأول: مقررات المتطلبات العامة
بعد الاختبار
1. تتولى الكلية المستفيدة تسليم أوراق الإجابة لأستاذ المقرر مباشرة للتصحيح.",33.17,65.61,مرتفع,chunk_id=general_education_elective_courses_policy_cleaned-0044 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=33.17%)
32,هل يحق للطالب الدراسة بنظام الزيارة في جامعة أخرى دون التقيد بإجراءات طلب الزيارة من جامعة طيبة؟,لا، وسيتم طي قيد سجل الطالب وعدم احتساب المقررات التي درسها بجامعة الزيارة.,"الفصل الأول: التعريفات
الطالب الزائر: الطالب الذي يقوم بدراسة بعض المقررات الدراسية في جامعة أخرى، أو في فرع من فروع الجامعة التي ينتمي إليها دون تحويله.",63.46,64.83,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0010 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=63.46%)
33,كم عدد الفصول الدراسية التي يمكنني فيها الدراسة على نظام الزيارة؟,ثلاثة فصول دراسية بما لا يتجاوز 25% من مجموع الخطة الدراسية للطالب.,"الفصل الثالث: أنظمة الدراسة
القواعد التنفيذية للمادة الثامنة
2. يجوز تحديد نمط التعليم بأحد أو بعض أنماط التعليم المستخدمة غير نمط التعليم الحضوري بنسبة لا تقل عن 10% ولا تزيد عن 25% من مجموع المقررات الدراسية بالخطة الدراسية للبرامج ذات نمط التعليم الحضوري.",47.28,63.87,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0056 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=47.28%)
34,هل يتم احتساب درجات المقررات التي درستها بنظام الزيارة في جامعة أخرى ضمن المعدل التراكمي؟,يتم رصدها كمواد معادلة.,"الفصل السادس: التحويل والمعادلة
القواعد التنفيذية للمادة الرابعة والعشرين
ز. يجوز أن تكون المعادلة لمجموعة من المقررات مع مراعاة الشروط السابقة.",26.32,33.51,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0101 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=26.32%)
35,هل يستطيع الطالب المنذر أكاديمياً الدراسة على نظام الزيارة؟,نعم.,"الباب السادس: أحكام عامة
1. في حال قيام الطالب أو الطالبة بارتكاب مخالفة يتولى مدير أو مديرة الإسكان الطلابي أو من في حكمه، مثل مشرف أو مشرفة الإسكان الطلابي، وموظفو الأمن إثبات الواقعة وتسجيلها في النماذج المخصصة لذلك واستكمال إجراءات رفعها لعميد شؤون الطلاب.
2. يجب على الطالب أو الطالبة الاطلاع على هذه القواعد والالتزام بأحكامها، وعلى إدارة الإسكان الطلابي نشرها في الموقع الإلكتروني لعمادة شؤون الطلاب، إضافة إلى أي طرق أخرى مناسبة.
3. يخضع لهذه القواعد كل طالب أو طالبة مستفيد من خدمات الإسكان الطلابي وبما يتوافق مع الأنظمة الأساسية بجامعة طيبة.
4. الجهة المختصة بالإشراف على تطبيق أحكام هذه القواعد هي إدارة الإسكان الطلابي بعمادة شؤون الطلاب.
5. لا يجوز للطالب أو الطالبة المنسوب له ارتكاب مخالفة لأحكام هذه القواعد الانسحاب من الإسكان أو إخلاء طرفه قبل البت في موضوع المخالفة.
6. لا يعفى الطالب أو الطالبة من العقوبة بحجة عدم علمه بهذه القواعد أو غيرها من اللوائح والتعليمات.
7. تقوم إدارة الإسكان الطلابي بتطبيق أحكام هذه القواعد من خلال الإجراءات النظامية المنصوص عليها أو من خلال ما تقره جهة الاختصاص في الجامعة، كما يجوز لعمادة شؤون الطلاب تشكيل اللجان المطلوبة للتعامل مع الحالات الطارئة وتفتيش الوحدة السكنية التي يشتبه بها دون إبلاغ الطالب أو الطالبة واستدعائه إذا تطلب الأمر واتخاذ الإجراءات النظامية بحقه عندما يستدعي الأمر ذلك.
8. لمجلس الجامعة الحق في إضافة أو إلغاء أو تعديل أي من مواد هذه القواعد وله حق تفسيرها.
9. يعمل بهذه القواعد اعتباراً من تاريخ اعتمادها من مجلس الجامعة ويلغي كل ما يتعارض معها من لوائح أو قرارات أو تعليمات سابقة.",36.32,31.82,متوسط,chunk_id=taibah_student_housing_rules_ar-0119 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=36.32%)
36,هل يمكن تغيير طلبي بعد إغلاق بوابة التحويل؟,لا يمكن.,"الباب الرابع: الحقوق والالتزامات
ثانياً: التزامات الطلبة المقيمين بالإسكان الطلابي
9. عدم السماح بدخول الحيوانات أو الطيور بكافة أنواعها أو الآلات الموسيقية.",16.02,30.74,متوسط,chunk_id=taibah_student_housing_rules_ar-0088 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=16.02%)
37,هل يمكن التقديم للتحويل من الكليات التطبيقية (دبلوم) إلى الكليات الأخرى أو العكس؟,لا.,"الفصل الثامن: الاختبارات
القواعد التنفيذية للمادة الثلاثين
المادة الحادية والثلاثون:
الطالب الغائب عن الاختبار النهائي تكون درجته صفراً في اختبار المقرر الدراسي الذي يغيب عنه، ويحسب تقديره في ذلك المقرر الدراسي على أساس درجات الأعمال الفصلية التي حصل عليها.",23.25,32.65,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0143 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=23.25%)
38,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية زائراً؟,لا.,"الفصل الثامن: الاختبارات
القواعد التنفيذية للمادة الثلاثين
المادة الحادية والثلاثون:
الطالب الغائب عن الاختبار النهائي تكون درجته صفراً في اختبار المقرر الدراسي الذي يغيب عنه، ويحسب تقديره في ذلك المقرر الدراسي على أساس درجات الأعمال الفصلية التي حصل عليها.",33.35,32.65,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0143 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=33.35%)
39,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية طي قيد؟,لا.,"الفصل الثامن: الاختبارات
القواعد التنفيذية للمادة الثلاثين
المادة الحادية والثلاثون:
الطالب الغائب عن الاختبار النهائي تكون درجته صفراً في اختبار المقرر الدراسي الذي يغيب عنه، ويحسب تقديره في ذلك المقرر الدراسي على أساس درجات الأعمال الفصلية التي حصل عليها.",43.91,32.65,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0143 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=43.91%)
40,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية معتذراً أو مؤجلاً؟,نعم.,"الباب السادس: أحكام عامة
1. في حال قيام الطالب أو الطالبة بارتكاب مخالفة يتولى مدير أو مديرة الإسكان الطلابي أو من في حكمه، مثل مشرف أو مشرفة الإسكان الطلابي، وموظفو الأمن إثبات الواقعة وتسجيلها في النماذج المخصصة لذلك واستكمال إجراءات رفعها لعميد شؤون الطلاب.
2. يجب على الطالب أو الطالبة الاطلاع على هذه القواعد والالتزام بأحكامها، وعلى إدارة الإسكان الطلابي نشرها في الموقع الإلكتروني لعمادة شؤون الطلاب، إضافة إلى أي طرق أخرى مناسبة.
3. يخضع لهذه القواعد كل طالب أو طالبة مستفيد من خدمات الإسكان الطلابي وبما يتوافق مع الأنظمة الأساسية بجامعة طيبة.
4. الجهة المختصة بالإشراف على تطبيق أحكام هذه القواعد هي إدارة الإسكان الطلابي بعمادة شؤون الطلاب.
5. لا يجوز للطالب أو الطالبة المنسوب له ارتكاب مخالفة لأحكام هذه القواعد الانسحاب من الإسكان أو إخلاء طرفه قبل البت في موضوع المخالفة.
6. لا يعفى الطالب أو الطالبة من العقوبة بحجة عدم علمه بهذه القواعد أو غيرها من اللوائح والتعليمات.
7. تقوم إدارة الإسكان الطلابي بتطبيق أحكام هذه القواعد من خلال الإجراءات النظامية المنصوص عليها أو من خلال ما تقره جهة الاختصاص في الجامعة، كما يجوز لعمادة شؤون الطلاب تشكيل اللجان المطلوبة للتعامل مع الحالات الطارئة وتفتيش الوحدة السكنية التي يشتبه بها دون إبلاغ الطالب أو الطالبة واستدعائه إذا تطلب الأمر واتخاذ الإجراءات النظامية بحقه عندما يستدعي الأمر ذلك.
8. لمجلس الجامعة الحق في إضافة أو إلغاء أو تعديل أي من مواد هذه القواعد وله حق تفسيرها.
9. يعمل بهذه القواعد اعتباراً من تاريخ اعتمادها من مجلس الجامعة ويلغي كل ما يتعارض معها من لوائح أو قرارات أو تعليمات سابقة.",29.92,31.82,متوسط,chunk_id=taibah_student_housing_rules_ar-0119 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=29.92%)
41,هل يمكن التقديم للتحويل لمن سبق له التحويل؟,لا، التحويل يكون لمرة واحدة فقط في المرحلة الجامعية.,"الفصل السادس: التحويل والمعادلة
القواعد التنفيذية للمادة الخامسة والعشرين
د. ألا يكون التحويل من درجة علمية إلى درجة علمية أعلى منها.
هـ. أن يكون التحويل لمرة واحدة فقط خلال فترة دراسة الطالب في الجامعة.",52.06,61.95,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0113 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=52.06%)
42,ماذا ينبغي أن أفعل بعد صدور النتيجة بالموافقة؟,يرجى مراجعة خطوات التحويل في دليل التحويل الداخلي والخارجي.,"الفصل السادس: التحويل والمعادلة
القواعد التنفيذية للمادة الخامسة والعشرين
د. ألا يكون التحويل من درجة علمية إلى درجة علمية أعلى منها.
هـ. أن يكون التحويل لمرة واحدة فقط خلال فترة دراسة الطالب في الجامعة.",21.14,53.56,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0113 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=21.14%)
43,هل يعني ترشيحي للتحويل قبول نهائي؟,لا، سيتم القبول النهائي بعد المفاضلة لأعلى المعدلات وضوابط الكلية.,"الفصل الحادي عشر: أحكام عامة
المادة الرابعة والأربعون:
مع عدم الإخلال بأحكام هذه اللائحة وشروط وضوابط القبول في الجامعة، للجامعة قبول من مضى على حصوله على الثانوية العامة أو ما يعادلها مدة تزيد على خمس سنوات إذا توافرت أسباب مقنعة، كما يجوز أن يكون ذلك بمقابل مالي وفق ضوابط يضعها مجلس شؤون الجامعات.",40.37,57.65,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0176 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=40.37%)
44,هل يشترط اختبار كفايات اللغة الإنجليزية للتحويل لتخصص اللغة الإنجليزية؟,نعم، يشترط الاختبار على جميع المتقدمين لتخصص اللغة الإنجليزية بدرجة 53 كحد أدنى، وحسب المقاعد الشاغرة.,"الفصل الثامن: الاختبارات
القواعد التنفيذية للمادة الثلاثين
المادة الحادية والثلاثون:
الطالب الغائب عن الاختبار النهائي تكون درجته صفراً في اختبار المقرر الدراسي الذي يغيب عنه، ويحسب تقديره في ذلك المقرر الدراسي على أساس درجات الأعمال الفصلية التي حصل عليها.",39.33,61.83,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0143 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=39.33%)
45,هل يوجد اختبار قبول أو مقابلة شخصية للتحويل؟ وكيف أعلم بذلك؟,"نعم، ولكن في بعض التخصصات مثل:
كلية الطب
طب الأسنان
التربية
التصاميم والفنون
وسيتم إفادة المتقدم بموعد ومكان الاختبار عن طريق الكلية.","تهذيب الجانب السلوكي والأخلاقي ورفع مستوى القيم الإنسانية
تزويد الطالب بالمهارات الوظيفية التقنية المختلفة؛ ليكون مؤهلاً وصالحاً لخوض التجربة الوظيفية والدخول في سوق العمل.

تضم مقررات المتطلبات العامة سلالاً من المقررات الجامعية في مختلف التخصصات تم توزيعها في ثماني سلال.",37.47,50.86,متوسط,chunk_id=دليل المقرارات العامه-0002 | from_file=دليل المقرارات العامه.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=37.47%)
46,هل يمكن التحويل من الكليات النظرية إلى الكليات العلمية؟,"نعم، كلية العلوم بالمدينة فقط وفق الشروط التالية:
أن يكون حاصلًا على الثانوية العامة مسار علمي.
أن يكون حاصلًا على اختبار تحصيلي علمي (للطلاب).
أن يكون هناك مقاعد متاحة.","الفصل الأول: التعريفات
التقدير العام: وصف مستوى التحصيل العلمي للطالب خلال مدة دراسته في الجامعة.",51.98,66.79,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0016 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=51.98%)
47,هل يوجد تحويل من الكليات النظرية إلى الكليات الصحية؟,نعم، كلية التمريض فقط، وحسب المفاضلة لأعلى معدل ووفق ضوابط وشروط الكلية.,"الباب الأول: التعريفات والأهداف
التعريفات
1. الجامعة: جامعة طيبة.",39.92,42.55,متوسط,chunk_id=taibah_student_housing_rules_ar-0002 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=39.92%)
48,هل يوجد تحويل من الكليات العلمية إلى الكليات الصحية؟,"نعم:
كلية التمريض بالمدينة
كلية العلوم الطبية التطبيقية بينبع
كلية العلوم الطبية التطبيقية بالعلا
كلية التأهيل الطبي تخصص الأطراف الصناعية والأجهزة المساعدة
وذلك وفق دليل التحويل.","مقدمة
عزيزي الطالب/الطالبة،

يسر برنامج دكتور الصيدلة في كلية الصيدلة - جامعة طيبة أن يقدم لك هذا الدليل الإرشادي الأكاديمي، الذي يمثل مرجعاً عملياً وميسّراً يهدف إلى دعمك في تحقيق أفضل مستويات الأداء الأكاديمي، والتكيف الإيجابي مع متطلبات البيئة الجامعية.

يأتي هذا الدليل منسجماً مع رسالة البرنامج وبما يتوافق مع رؤية المملكة 2030. ويهدف الإرشاد الأكاديمي إلى مساعدتك في اتخاذ قرارات أكاديمية مدروسة، وتجاوز التحديات التي قد تواجهك خلال رحلتك الدراسية، من خلال توفير الدعم الأكاديمي والنفسي والاجتماعي.

يحتوي الدليل على معلومات مهمة تشمل أنظمة الدراسة، وأدوار المرشد الأكاديمي، وحقوقك وواجباتك، بالإضافة إلى قنوات الدعم المتاحة لك داخل الكلية والجامعة.",48.75,50.77,متوسط,chunk_id=pharmd_student_guide_ar_cleaned-0002 | from_file=pharmd_student_guide_ar_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=48.75%)
49,معدلي عالي ولم أستطع التحويل لبعض التخصصات، لماذا؟,نظراً للإقبال الكبير لهذه التخصصات وبمعدلات عالية جداً، تم وضع حد أدنى للترشيح لهذه التخصصات.,"الشروط الإضافية
1. إتمام 60% على الأقل من متطلبات التخرج في جامعة طيبة.
2. ألا يكون الطالب قد رسب في أي مقرر دراسي.
3. ألا يكون قد تعرض لأي عقوبة تأديبية.

مرتبة الشرف الثانية: المعدل التراكمي المطلوب (من 5.00): 4.25 - أقل من 4.75",42.7,52.92,متوسط,chunk_id=pharmd_student_guide_ar_cleaned-0013 | from_file=pharmd_student_guide_ar_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=42.70%)
50,كيف يعرف الطالب نتيجة القبول؟,يجب على الطالب الدخول على حسابه عبر بوابة القبول الإلكتروني في المواعيد المعلنة والمحددة في الجدول الزمني للتقديم، ويساند ذلك إرسال رسائل نصية على جوال الطالب والبريد الإلكتروني.,"أحكام عامة
جميع الطلبات تُقدَّم إلكترونياً فقط، ولا تُقبل المعاملات الورقية.
يخضع الطالب لجميع الأنظمة واللوائح في الجامعة.
تُحدد الكليات الطاقة الاستيعابية لقبول الطلاب والطالبات الزائرين في كل فصل دراسي.",46.4,56.58,متوسط,chunk_id=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة-0012 | from_file=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=46.40%)
51,طالب دخل اختبار القدرات العامة أكثر من مرة، فماهي النتيجة التي يتم احتسابها في القبول؟,يتم احتساب أعلى نتيجة حصل عليها الطالب في اختبار القدرات العامة.,"الفصل الأول: التعريفات
درجة الاختبار النهائي: الدرجة التي يحصل عليها الطالب في كل مقرر دراسي في الاختبار النهائي.",65.27,67.93,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0007 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=65.27%)
52,طالب تأخر في ترتيب الرغبات في الموعد المحدد؟,إذا لم يتم ترتيب الرغبات في الفترة المحددة حسب الجدول الزمني للقبول، سيتم إلغاء الترشيح، ولا يحق للمتقدم بعد ذلك المطالبة بالمقعد.,"الفصل الثالث: أنظمة الدراسة
القواعد التنفيذية للمادة السابعة عشرة
5. لا يسمح للطالب الانسحاب من المقرر في حال حصل على حرمان في المقرر.",39.21,56.57,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0073 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=39.21%)
53,ماهي التخصصات المتاحة للقبول بالجامعة؟,يمكنك الدخول على رابط البرامج والتخصصات المتاحة على موقع بوابة القبول الإلكتروني للاطلاع عليها.,"الفصل الأول: التعريفات
برنامج الترقية الأكاديمية الدراسية (التجسير): البرنامج المصمم لإكمال الدراسة من الدبلوم إلى البكالوريوس.",62.51,49.76,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0004 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=62.51%)
54,ماهي آلية المفاضلة في القبول؟,"يتم القبول عن طريق المفاضلة بين المتقدمين تنافسياً وفقاً لما يلي:
1- النسبة الموزونة.
2- ترتيب الرغبات.
3- توافر المقاعد المتاحة.
4- شروط الكليات.
(موقع الجامعة الرسمي - عمادة القبول والتسجيل - دليل القبول).","برامج البكالوريوس والدبلوم الجديدة من العام الجامعي 1447هـ
شروط الترشيح للقبول في برامج وكليات الجامعة وفروعها للعام الجامعي 1447هـ",43.07,72.47,مرتفع,chunk_id=دليل القبول-0001 | from_file=دليل القبول.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=43.07%)
55,ماهي معايير القبول في الجامعة؟,يمكن الاطلاع على معايير القبول من خلال موقع الجامعة.,"برامج البكالوريوس والدبلوم الجديدة من العام الجامعي 1447هـ
شروط الترشيح للقبول في برامج وكليات الجامعة وفروعها للعام الجامعي 1447هـ",77.56,69.01,مرتفع,chunk_id=دليل القبول-0001 | from_file=دليل القبول.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=77.56%)
56,طالب سجل العام الماضي ولم يتم قبوله، هل يمكن التسجيل من التقديم القديم أم يلزم التقديم من جديد؟,يتوجب التقديم من جديد من خلال الدخول على بوابة القبول الإلكتروني.,"الباب الثالث: الشروط والأنظمة
ثالثاً: ضوابط الدخول والخروج للإسكان الطلابي
6. يمكن الاستفادة من الخدمات الرسمية الإلكترونية مثل أبشر.",37.77,44.72,متوسط,chunk_id=taibah_student_housing_rules_ar-0055 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=37.77%)
57,هل الأولوية في القبول الجامعي للحاصلين على شهادة الثانوية العامة لهذا العام؟,"القبول يتم وفق الشروط المعلنة على موقع الجامعة.
(عمادة القبول والتسجيل - دليل القبول).","الفصل الحادي عشر: أحكام عامة
القواعد التنفيذية للمادة الرابعة والأربعين
2. يعتمد مجلس الجامعة بناءً على اقتراح عمادة القبول والتسجيل ضوابط وشروط القبول في الجامعة وبما لا يتعارض مع الوارد في المادة الحادية عشرة من هذه اللائحة وقواعدها التنفيذية وذلك لمن مضى على حصوله على الثانوية العامة أو ما يعادلها مدة تزيد على خمس سنوات، بما في ذلك إمكانية الحصول على مقابل مالي وفق الضوابط المقررة من مجلس شؤون الجامعات.",60.2,69.13,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0178 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=60.20%)
58,هل هناك ميزة لمن قدم في اليوم الأول أو اليوم التالي أو اليوم الأخير، حسب الجدول الزمني؟,لا، المفاضلة تكون حسب النسبة الموزونة والمقاعد المتاحة.,"رابعاً: آلية المفاضلة بين المتقدمين في الزيارة الداخلية
تُعطى الأولوية للمستفيدين مباشرة من الضمان الاجتماعي.
في حال توفر مقاعد إضافية، تُخصص للأيتام، وذوي الإعاقة، والفئات المماثلة حسب الطاقة الاستيعابية، وتشمل الفئات المماثلة:
أبناء أسر السجناء.
أبناء الشهداء.
أي فئة أخرى يصدر بشأنها تعميم أو قرار رسمي من وزارة التعليم أو الجهات المختصة.
عند تساوي الطلبات، تكون المفاضلة وفق المعدل التراكمي.
في حال استمرار التساوي، يُعتمد ترتيب أسبقية التقديم الإلكتروني.",21.14,56.61,متوسط,chunk_id=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة-0011 | from_file=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=21.14%)
